3.76	3.76
3.87	3.77
3.79	3.77
3.79	3.78
4.00	3.81
4.06	3.84
3.92	3.85
3.82	3.84
4.02	3.86
4.15	3.90
3.91	3.90
4.00	3.92
3.73	3.89
3.78	3.88
3.79	3.87
3.86	3.86
3.92	3.87
4.00	3.89
3.85	3.88
3.88	3.88
3.89	3.88
3.76	3.87
3.84	3.87
3.95	3.88
3.75	3.86
3.88	3.86
3.80	3.85
3.98	3.87
3.89	3.87
4.10	3.90
4.01	3.92
5.92	4.16
14.41	5.60
1.24	4.99
6.37	5.15
-2.10	4.27
5.79	4.49
2.60	4.20
4.85	4.29
3.89	4.24
3.22	4.12
3.57	4.05
3.62	3.99
3.79	3.96
3.34	3.88
3.69	3.86
4.02	3.88
3.37	3.82
3.87	3.82
3.91	3.84
3.63	3.81
3.65	3.79
2.94	3.68
3.92	3.71
3.87	3.73
3.36	3.69
4.23	3.75
4.14	3.81
3.73	3.80
2.39	3.60
4.34	3.70
4.42	3.78
3.69	3.77
3.66	3.76
3.15	3.68
3.11	3.61
5.73	3.87
4.08	3.90
3.64	3.86
2.27	3.67
0.92	3.33
-0.55	2.79
0.08	2.43
1.98	2.37
2.24	2.36
2.11	2.33
1.51	2.23
1.98	2.20
1.97	2.17
0.98	2.03
-0.27	1.70
-1.55	1.31
-2.86	0.80
-4.60	0.04
-6.35	-0.73
-8.85	-1.80
-10.11	-2.81
-8.79	-3.65
-7.10	-4.07
-7.00	-4.42
-8.02	-4.93
-9.70	-5.51
-12.47	-6.35
-14.45	-7.34
-19.44	-9.04
-22.66	-10.69
-18.78	-11.67
-12.04	-11.72
-10.54	-11.56
-9.70	-11.33
-10.41	-11.22
-12.88	-11.42
-15.71	-12.06
-14.86	-12.46
-11.02	-12.26
-10.31	-12.02
-7.00	-11.36
-4.86	-10.45
-3.20	-9.57
-2.57	-8.65
-3.76	-7.97
-1.56	-7.19
14.94	-4.08
16.66	-1.36
24.63	1.79
20.59	4.43
25.31	7.17
18.91	8.82
23.92	10.65
22.88	12.37
21.65	13.58
20.62	14.44
21.66	15.45
25.02	16.71
27.63	18.03
28.02	19.44
25.96	20.23
24.14	20.74
19.92	20.62
21.91	20.78
18.99	20.56
20.00	20.49
19.60	20.39
19.00	20.22
17.11	19.81
16.08	19.36
16.79	19.05
16.69	18.76
16.15	18.42
18.08	18.37
15.47	18.02
13.72	17.42
11.60	16.65
10.34	15.89
8.80	14.89
3.11	13.35
-7.50	10.81
-18.16	6.75
-23.01	3.13
-20.54	0.26
-19.02	-2.08
-17.05	-3.90
-15.55	-5.31
-13.34	-6.37
-11.95	-7.05
-12.87	-7.75
-13.63	-8.63
-18.02	-9.77
-15.97	-10.52
-23.62	-12.36
-21.73	-13.59
-17.98	-14.12
-17.10	-14.49
-11.30	-14.04
-4.28	-12.76
-1.11	-11.35
6.40	-8.85
6.25	-6.87
7.92	-4.80
2.84	-3.80
-4.09	-3.83
-6.44	-4.17
-9.44	-4.91
-14.31	-6.05
-16.85	-7.47
-19.77	-9.20
-21.50	-10.69
-19.90	-11.81
-21.97	-13.04
-22.13	-14.15
-18.85	-14.72
-16.44	-14.93
-21.34	-15.77
-21.07	-16.41
-19.98	-16.84
-19.01	-17.11
-17.16	-17.11
-14.98	-16.86
-12.24	-16.21
-10.36	-15.44
-12.63	-15.10
-14.83	-15.07
-18.47	-15.55
-22.79	-16.50
-25.53	-17.59
-27.63	-18.81
-28.79	-20.30
-25.24	-20.90
-21.10	-20.93
-18.02	-20.57
-12.02	-19.53
-8.97	-18.25
-4.24	-16.55
-4.30	-15.06
-3.66	-13.57
-4.27	-12.44
-3.43	-11.34
-3.66	-10.27
-1.89	-9.17
3.37	-7.64
6.03	-5.72
6.37	-4.14
8.70	-2.34
8.92	-0.97
9.26	0.47
9.20	1.53
9.17	2.46
9.89	3.36
4.52	3.50
5.10	3.71
-1.20	3.02
-6.32	1.89
-13.08	0.07
-20.74	-2.46
-27.03	-5.44
-32.43	-8.72
-37.93	-12.55
-40.22	-15.91
-43.53	-19.26
-42.92	-22.14
-40.53	-24.37
-40.56	-26.34
-37.28	-27.67
-35.11	-28.57
-32.21	-29.05
-27.97	-28.92
-23.87	-28.30
-20.65	-27.37
-15.66	-25.84
-12.56	-24.23
-9.17	-22.11
-7.15	-20.15
-5.00	-18.31
-5.21	-16.47
-4.34	-15.00
0.76	-13.08
4.22	-10.98
9.15	-8.54
13.68	-5.84
17.27	-2.81
20.56	0.03
21.64	3.06
21.51	5.48
20.08	7.53
19.74	9.01
18.35	10.15
16.53	11.04
14.11	11.42
10.73	11.32
6.25	10.65
2.21	9.63
-5.39	7.52
-11.09	5.26
-18.28	2.40
-23.94	-0.80
-29.26	-4.25
-34.18	-7.89
-38.75	-11.93
-41.66	-15.54
-45.66	-19.20
-51.03	-23.96
-56.60	-27.93
-61.67	-32.02
-67.37	-36.32
-74.28	-41.29
-82.54	-47.08
-89.24	-52.20
-98.20	-57.79
-101.82	-63.56
-108.25	-69.84
-111.70	-74.92
-113.26	-79.94
-115.36	-84.24
-113.69	-87.82
-111.39	-90.68
-106.28	-92.58
-101.32	-93.64
-95.05	-93.81
-87.58	-93.05
-78.52	-91.15
-66.92	-88.21
-56.06	-84.30
-45.96	-79.65
-34.18	-73.69
-25.14	-67.79
-13.69	-61.22
