-6.11	-2.86
2	3.72
5.74	5.65
6.90	5.96
5.98	5.96
3.44	5.34
2.38	4.70
2.61	4.25
3.06	3.95
2.85	3.68
3.50	3.64
3.63	3.64
4.32	3.80
4.08	3.86
4.40	3.98
4.18	4.03
3.62	3.93
3.16	3.75
2.73	3.52
2.84	3.35
3.26	3.33
3.64	3.40
4.16	3.59
3.32	3.52
3.20	3.45
3.67	3.50
2.15	3.17
3.74	3.29
2.98	3.22
2.18	2.97
2.31	2.80
1.93	2.62
2.18	2.52
3.05	2.64
4.28	3.02
5.92	3.69
6.55	4.31
7.09	4.99
6.56	5.33
5.54	5.38
2.74	4.73
1.91	4.03
2.36	3.67
3.75	3.69
3.89	3.74
4.34	3.87
3.76	3.84
3.73	3.82
3.31	3.69
4.02	3.76
3.96	3.81
3.89	3.82
3.14	3.65
3.99	3.73
3.78	3.74
3.76	3.75
3.09	3.60
2.34	3.33
1.56	2.90
0.69	2.42
0.18	1.94
-1.35	1.13
-3.02	0.11
-4.31	-0.85
-5.06	-1.76
-4.94	-2.55
-6.50	-3.58
-7.05	-4.43
-4.91	-4.55
-3.69	-4.34
-3.33	-4.12
-0.89	-3.42
2.78	-2.08
6.02	-0.08
7.38	1.53
6.96	2.71
5.75	3.46
3.27	3.42
1.63	3.03
-4.01	1.30
-8.20	-1.04
-14.61	-3.98
-23.34	-8.17
-34.21	-14.58
-44.71	-21.11
-58.10	-29.12
-71.55	-38.31
-87.69	-50.47
-98.53	-60.88
-107.08	-70.89
-114.25	-81.57
-115.52	-90.40
-116.45	-96.04
-117.55	-101.34
-115.89	-104.92
-111.43	-106.43
-106.55	-106.46
-101.15	-105.31
-93.24	-102.69
-83.80	-98.32
-75.28	-93.33
-62.46	-85.73
-56.06	-79.30
-49.18	-72.78
-42.76	-66.27
-39.56	-59.69
-39.06	-54.91
-37.02	-51.04
-39.97	-48.64
-41.09	-46.78
-42.00	-45.67
-42.21	-44.92
-42.21	-44.34
-40.68	-43.54
-38.67	-42.49
-36.10	-41.10
-34.35	-39.64
-31.08	-37.66
-27.49	-35.46
-23.40	-32.84
-21.53	-30.39
-22.18	-28.49
-24.22	-27.44
-26.84	-27.31
-31.95	-28.31
-36.24	-30.03
-42.34	-32.70
-50.69	-36.60
-61.47	-41.98
-71.14	-48.74
-81.89	-55.92
-93.18	-63.99
-104.94	-73.48
-115.18	-82.51
-120.76	-91.93
-119.17	-97.83
-112.21	-101.16
-102.18	-101.38
-90.70	-99.07
-77.19	-93.68
-64.44	-86.90
-50.63	-79.05
-33.68	-69.22
-18.58	-58.25
-6.20	-46.98
8.82	-34.89
28.31	-21.21
51.89	-4.27
78.18	13.59
101.75	32.68
119.84	51.56
135.34	69.70
142.69	85.51
139.76	97.26
133.05	105.01
124.08	109.43
112.76	110.15
105.76	109.20
96.55	106.46
90.85	102.84
85.32	99.05
76.36	93.46
71.56	88.39
65.43	83.41
62.93	78.37
60.67	74.54
58.85	70.90
52.63	66.40
46.62	62.12
42.28	57.52
36.93	53.06
33.59	48.27
26.14	43.47
17.13	37.77
6.95	31.09
-3.46	23.61
-12.14	15.87
-20.13	7.53
-28.95	-0.37
-37.00	-8.31
-46.76	-17.78
-53.49	-26.05
-60.75	-33.57
-67.19	-40.85
-72.42	-47.69
-76.96	-54.03
-83.27	-60.36
-88.52	-66.46
-91.73	-72.31
-96.24	-77.86
-100.13	-82.68
-104.18	-87.34
-108.28	-92.19
-109.85	-96.02
-107.68	-98.54
-100.27	-98.92
-93.91	-97.76
-88.31	-95.71
-83.63	-93.09
-78.49	-89.71
-75.15	-86.56
-72.61	-83.54
-70.43	-80.31
-69.73	-77.86
-70.57	-76.28
-72.18	-75.39
-76.98	-75.74
-82.65	-77.23
-92.50	-80.54
-99.89	-84.73
-110.39	-90.29
-123.40	-97.96
-137.82	-106.59
-151.71	-116.36
-155.11	-124.76
-156.43	-132.10
-153.28	-136.68
-148.60	-139.27
-145.65	-140.74
-141.01	-140.80
-132.12	-138.92
-120.14	-134.85
-106.27	-128.23
-87.51	-119.41
-69.89	-108.69
-46.79	-95.28
-19.36	-77.69
15.89	-57.42
72.43	-25.44
131.70	8.59
199.82	52.90
250.14	101.47
250.14	133.67
250.14	160.66
250.14	180.04
250.14	197.30
250.14	208.74
250.14	218.34
250.14	225.22
250.14	230.62
250.14	234.85
250.14	238.39
250.14	241.28
250.14	243.20
250.14	244.81
247.82	245.55
187.85	233.05
135.56	211.94
97.70	185.47
64.40	159.25
4.66	121.18
-54.74	80.42
-114.18	38.27
-161.76	-5.05
-205.52	-54.42
-234.49	-96.14
-250.13	-129.50
-250.13	-155.62
-250.13	-176.09
-250.13	-193.25
-250.13	-205.57
-250.13	-215.22
-250.13	-222.78
-250.13	-229.12
-250.13	-233.67
-250.13	-237.23
-250.13	-240.22
-250.13	-242.37
-250.13	-244.28
-250.13	-245.55
-250.13	-246.61
-250.13	-247.37
